Benchmark,Critical Cycles,Parallel Cycles,Heuristic Cycles,overlap cycles,Max CNOTS
mod5d2_64.qasm,135,135,135,135,1
hwb6_56.qasm,16555,16555,16555,16555,3
decod24-enable_126.qasm,865,865,865,865,2
squar5_261.qasm,4580,4580,4580,,2
alu-bdd_288.qasm,225,225,225,225,3
quantum_volume_n5_d3.qasm,,,,,
rd53_135.qasm,705,705,705,705,3
4mod7-v1_96.qasm,410,410,410,410,2
cc_n16.qasm,85,85,85,85,1
ex2_227.qasm,1565,1565,1565,1565,3
ising_model.n1000.qasm,50,60,60,60,500
rd84_142.qasm,490,490,490,490,3
sat_n10_vars=4_clauses=4_clauselen=4_fb92209893909945c2bc1144e6972464.qasm,,,,,
miller_11.qasm,135,135,135,135,1
qft_n250.qasm,4990,43350,32017,33038,125
4gt10-v1_81.qasm,380,380,380,380,2
cc_n200.qasm,1005,1005,1005,1005,1
cc_n15.qasm,80,80,80,80,1
cc_n150.qasm,755,755,755,755,1
bv_n13.qasm,80,80,80,80,1
quantum_volume_n36_d8.qasm,152,367,367,349,18
hwb8_113.qasm,171755,171755,171755,171755,4
cc_n300.qasm,1505,1505,1505,1505,1
qft_n20.qasm,390,600,520,537,10
4gt4-v0_73.qasm,1005,1005,1005,1005,2
cm152a_212.qasm,3040,3040,3040,3040,3
4gt4-v0_79.qasm,585,585,585,585,2
bv_n18.qasm,105,105,105,105,1
mod10_176.qasm,435,435,435,435,2
cc_n17.qasm,90,90,90,90,1
urf2_277.qasm,51390,51395,51390,,4
qft_n18.qasm,350,510,450,451,9
bv_n450.qasm,2266,2266,2266,2266,1
cm82a_208.qasm,1490,1490,1490,1490,2
sqn_258.qasm,23990,23990,23990,,3
majority_239.qasm,1535,1535,1535,1535,3
3_17_13.qasm,15,15,15,15,2
sys6-v0_111.qasm,340,340,340,,3
ham15_107.qasm,21310,21310,21310,21310,6
rd53_133.qasm,1465,1465,1465,1465,3
bv_n19.qasm,110,110,110,110,1
cc_n11.qasm,60,60,60,60,1
cc_n100.qasm,505,505,505,505,1
sf_274.qasm,1930,1930,1930,1930,2
4gt5_77.qasm,330,330,330,330,2
adr4_197.qasm,8055,8055,8055,8055,3
sat_n7_vars=3_clauses=3_clauselen=3_fd2ff8bf99b05c13216600154bc6bc21.qasm,,,,,
mod5d1_63.qasm,60,60,60,60,2
qft_n100.qasm,1990,8650,7117,7186,50
C17_204.qasm,1120,1120,1120,1120,2
quantum_volume_n32_d32.qasm,608,1361,1205,1230,16
rd53_131.qasm,1155,1155,1155,1155,3
cc_n350.qasm,1755,1755,1755,1755,1
one-two-three-v0_98.qasm,355,355,355,355,2
ising_model.n500.qasm,50,50,70,71,250
quantum_volume_n40_d40.qasm,760,1938,1746,1758,20
cnt3-5_179.qasm,275,275,275,275,6
root_255.qasm,39020,39020,39020,39020,4
4gt12-v0_86.qasm,600,600,600,600,2
